category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
Cellular Processes,Cellular community - eukaryotes,mmu04530,Tight junction - Mus musculus (house mouse),10/359,129/5932,0.0775193798449612,1.2809051845134,0.818643823401157,0.253417202014705,0.99999922275763,0.940878864959414,72058/241113/12737/72930/71960/216459/58220/12738/12695/26408,10,Downregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04726,Serotonergic synapse - Mus musculus (house mouse),6/359,71/5932,0.0845070422535211,1.39636706030052,0.852722130234143,0.258268073434469,0.99999922275763,0.940878864959414,19252/11689/12292/66066/14710/15551,6,Downregulated advanced-passage signature
Human Diseases,Immune disease,mmu05322,Systemic lupus erythematosus - Mus musculus (house mouse),4/359,43/5932,0.0930232558139535,1.53708622141608,0.897065441776099,0.261305701621876,0.99999922275763,0.940878864959414,21939/404634/14811/12519,4,Downregulated advanced-passage signature
Metabolism,Amino acid metabolism,mmu00260,"Glycine, serine and threonine metabolism - Mus musculus (house mouse)",3/359,30/5932,0.1,1.65236768802228,0.909117738521377,0.271716612893236,0.99999922275763,0.940878864959414,218865/104174/67092,3,Downregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04972,Pancreatic secretion - Mus musculus (house mouse),5/359,58/5932,0.0862068965517242,1.42445490346749,0.824413786057278,0.272933456449529,0.99999922275763,0.940878864959414,98660/67972/11937/12424/99709,5,Downregulated advanced-passage signature
Human Diseases,Cancer: specific types,mmu05218,Melanoma - Mus musculus (house mouse),5/359,58/5932,0.0862068965517242,1.42445490346749,0.824413786057278,0.272933456449529,0.99999922275763,0.940878864959414,12550/242705/14176/71785/12571,5,Downregulated advanced-passage signature
Human Diseases,Immune disease,mmu05320,Autoimmune thyroid disease - Mus musculus (house mouse),2/359,17/5932,0.117647058823529,1.94396198590857,0.989163895574448,0.275047023398644,0.99999922275763,0.940878864959414,21939/12519,2,Downregulated advanced-passage signature
Human Diseases,Immune disease,mmu05330,Allograft rejection - Mus musculus (house mouse),2/359,17/5932,0.117647058823529,1.94396198590857,0.989163895574448,0.275047023398644,0.99999922275763,0.940878864959414,21939/12519,2,Downregulated advanced-passage signature
Human Diseases,Immune disease,mmu05340,Primary immunodeficiency - Mus musculus (house mouse),2/359,17/5932,0.117647058823529,1.94396198590857,0.989163895574448,0.275047023398644,0.99999922275763,0.940878864959414,21939/17060,2,Downregulated advanced-passage signature
Human Diseases,Cancer: specific types,mmu05215,Prostate cancer - Mus musculus (house mouse),7/359,90/5932,0.0777777777777778,1.28517486846178,0.691860271706205,0.302059692634401,0.99999922275763,0.940878864959414,16334/242705/18792/20732/21802/71785/231991,7,Downregulated advanced-passage signature
Human Diseases,Substance dependence,mmu05034,Alcoholism - Mus musculus (house mouse),8/359,105/5932,0.0761904761904762,1.25894680992174,0.679437276759323,0.302152863926059,0.99999922275763,0.940878864959414,79221/11541/404634/11540/66066/14710/231991/14811,8,Downregulated advanced-passage signature
Human Diseases,Cancer: overview,mmu05206,MicroRNAs in cancer - Mus musculus (house mouse),11/359,152/5932,0.0723684210526316,1.1957924058056,0.620612305274417,0.31332729689061,0.99999922275763,0.940878864959414,12444/12505/14365/13867/242705/18792/12531/234779/18131/12571/18671,11,Downregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05146,Amoebiasis - Mus musculus (house mouse),6/359,77/5932,0.0779220779220779,1.28755923741996,0.644578626785942,0.322214362805484,0.99999922275763,0.940878864959414,16415/15507/16773/20706/14675/16782,6,Downregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04978,Mineral absorption - Mus musculus (house mouse),3/359,33/5932,0.0909090909090909,1.50215244365662,0.734125005493485,0.322385198602187,0.99999922275763,0.940878864959414,98660/67972/244698,3,Downregulated advanced-passage signature
Human Diseases,Cancer: overview,mmu05200,Pathways in cancer - Mus musculus (house mouse),28/359,422/5932,0.0663507109004739,1.09635770769251,0.521234976582035,0.330972301590879,0.99999922275763,0.940878864959414,12444/12550/12395/14365/242705/16773/22422/58801/12322/16782/18510/16403/14061/14176/21802/56198/66066/12445/234779/18131/14710/19219/12571/15213/14858/385643/15245/14857,28,Downregulated advanced-passage signature
