category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
Human Diseases,Cardiovascular disease,mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (house mouse),8/260,115/5932,0.0695652173913044,1.58715719063545,1.36124499838424,0.13084852772464,0.429246999486929,0.35777582035107,14871/12389/56615/170758/13614/12159/17390/11898,8,Upregulated advanced-passage signature
Metabolism,Amino acid metabolism,mmu00220,Arginine biosynthesis - Mus musculus (house mouse),2/260,15/5932,0.133333333333333,3.04205128205128,1.69529005417619,0.138257895075574,0.448088840666619,0.373480426773586,18125/11898,2,Upregulated advanced-passage signature
Human Diseases,Endocrine and metabolic disease,mmu04930,Type II diabetes mellitus - Mus musculus (house mouse),3/260,30/5932,0.1,2.28153846153846,1.50652101595675,0.14224643052596,0.45134776261743,0.376196726423449,12289/12291/12286,3,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04728,Dopaminergic synapse - Mus musculus (house mouse),7/260,99/5932,0.0707070707070707,1.61320901320901,1.31723318601265,0.142619181496214,0.45134776261743,0.376196726423449,12289/14706/12286/14702/18795/14677/16572,7,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04024,cAMP signaling pathway - Mus musculus (house mouse),9/260,139/5932,0.0647482014388489,1.47725511898174,1.21895803957469,0.155373009678732,0.480552125708914,0.400538457350806,22355/12289/170758/13614/19206/56188/12064/14677/15552,9,Upregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05145,Toxoplasmosis - Mus musculus (house mouse),6/260,83/5932,0.072289156626506,1.64930491195551,1.27535018270639,0.155420204225559,0.480552125708914,0.400538457350806,16775/21809/16452/24088/21808/14677,6,Upregulated advanced-passage signature
Cellular Processes,Cell motility,mmu04810,Regulation of actin cytoskeleton - Mus musculus (house mouse),11/260,186/5932,0.0591397849462366,1.34929693961952,1.03621760553436,0.192060002905083,0.587092508880311,0.489339481085917,170758/14165/18596/18645/14183/18481/213435/319480/109700/78134/20315,11,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04723,Retrograde endocannabinoid signaling - Mus musculus (house mouse),7/260,109/5932,0.0642201834862385,1.4652081863091,1.04946927228961,0.200527775654845,0.602147555075711,0.501887807595877,12289/14706/23945/12286/14702/18795/14677,7,Upregulated advanced-passage signature
Organismal Systems,Excretory system,mmu04966,Collecting duct acid secretion - Mus musculus (house mouse),2/260,19/5932,0.105263157894737,2.40161943319838,1.31004283494278,0.201462007274401,0.602147555075711,0.501887807595877,12349/242341,2,Upregulated advanced-passage signature
Organismal Systems,Immune system,mmu04659,Th17 cell differentiation - Mus musculus (house mouse),5/260,73/5932,0.0684931506849315,1.56269757639621,1.03563626690997,0.215105193038108,0.628536164281102,0.523882617851202,11622/16452/22637/19885/209590,5,Upregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04935,"Growth hormone synthesis, secretion and action - Mus musculus (house mouse)",6/260,92/5932,0.0652173913043478,1.48795986622074,1.00984360272182,0.215199842996584,0.628536164281102,0.523882617851202,12289/16000/16009/16452/18795/14677,6,Upregulated advanced-passage signature
