ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr
ENSMUSG00000067276,Capn6,higher,1.39265025397678,0.00000000000000000000000000000000000000000000000418635427796462
ENSMUSG00000058571,Gpc6,higher,1.63771076049953,0.00000000000000000000000000000000000000000000000547733807795035
ENSMUSG00000012889,Podnl1,higher,1.68347541156923,0.00000000000000000000000000000000000000000000000553660273194211
ENSMUSG00000040274,Cdk6,lower,-1.05309965012469,0.00000000000000000000000000000000000000000000000594193499032049
ENSMUSG00000031391,L1cam,lower,-2.09887675311097,0.00000000000000000000000000000000000000000000000674058016628795
ENSMUSG00000039384,Dusp10,lower,-1.44905673585359,0.00000000000000000000000000000000000000000000000853601825556639
ENSMUSG00000007872,Id3,higher,2.22957133482758,0.000000000000000000000000000000000000000000000018847943167459
ENSMUSG00000039137,Whrn,higher,1.83566159867419,0.0000000000000000000000000000000000000000000000191069213903665
ENSMUSG00000005087,Cd44,lower,-1.32220174717846,0.0000000000000000000000000000000000000000000000191069213903665
ENSMUSG00000051048,P4ha3,higher,1.93473950996566,0.0000000000000000000000000000000000000000000000326224952730458
ENSMUSG00000027995,Tlr2,higher,2.32487647965916,0.0000000000000000000000000000000000000000000000351057338195042
ENSMUSG00000037902,Sirpa,lower,-2.27947246248763,0.0000000000000000000000000000000000000000000000360530902636057
ENSMUSG00000027894,Slc6a17,higher,2.49191641275247,0.000000000000000000000000000000000000000000000036683522337452
ENSMUSG00000061603,Akap6,lower,-1.48217286480054,0.0000000000000000000000000000000000000000000000400451740447698
ENSMUSG00000017144,Rnd3,higher,1.13243842736019,0.0000000000000000000000000000000000000000000000412986730054704
ENSMUSG00000002847,Pla1a,lower,-1.76392219383656,0.0000000000000000000000000000000000000000000000762912136207621
ENSMUSG00000024521,Pmaip1,lower,-1.89924525486105,0.0000000000000000000000000000000000000000000000952365268096413
ENSMUSG00000031636,Pdlim3,lower,-1.94341183285385,0.000000000000000000000000000000000000000000000104697008910753
ENSMUSG00000003518,Dusp3,lower,-1.04875061362359,0.000000000000000000000000000000000000000000000109173542889884
ENSMUSG00000039376,Synpo2l,lower,-1.6449316366109,0.000000000000000000000000000000000000000000000135966264503755
ENSMUSG00000019843,Fyn,lower,-1.08472066967648,0.000000000000000000000000000000000000000000000136308366439471
ENSMUSG00000038264,Sema7a,lower,-1.86305244297062,0.000000000000000000000000000000000000000000000161370865224805
ENSMUSG00000031595,Pdgfrl,higher,1.75106022174939,0.000000000000000000000000000000000000000000000161370865224805
ENSMUSG00000060913,Trim55,lower,-1.93689142462253,0.000000000000000000000000000000000000000000000193648312149658
ENSMUSG00000010461,Eya4,higher,1.10774636945094,0.00000000000000000000000000000000000000000000019899261006726
ENSMUSG00000075122,Cd80,lower,-1.20572778966937,0.000000000000000000000000000000000000000000000248611543284045
ENSMUSG00000044674,Fzd1,higher,1.0278854692408,0.00000000000000000000000000000000000000000000026067094268257
ENSMUSG00000022206,Npr3,higher,3.90349081001676,0.000000000000000000000000000000000000000000000261280892317987
ENSMUSG00000005583,Mef2c,lower,-2.13543858593175,0.000000000000000000000000000000000000000000000285397328370105
ENSMUSG00000039239,Tgfb2,higher,1.44704069520194,0.000000000000000000000000000000000000000000000306110188625891
ENSMUSG00000020023,Tmcc3,lower,-1.55844438508283,0.000000000000000000000000000000000000000000000600321557005102
ENSMUSG00000006800,Sulf2,higher,1.46024208655594,0.00000000000000000000000000000000000000000000069129469864501
ENSMUSG00000041189,Chrnb1,lower,-1.2230510413283,0.000000000000000000000000000000000000000000000801299342121054
ENSMUSG00000001506,Col1a1,higher,2.1819682363017,0.000000000000000000000000000000000000000000000905224863468447
ENSMUSG00000027996,Sfrp2,higher,6.31513128355038,0.00000000000000000000000000000000000000000000135139010665196
ENSMUSG00000019899,Lama2,lower,-1.33083627556728,0.00000000000000000000000000000000000000000000135139010665196
ENSMUSG00000021466,Ptch1,higher,1.22738254738515,0.00000000000000000000000000000000000000000000180305208582077
ENSMUSG00000000031,H19,lower,-1.95990393180489,0.00000000000000000000000000000000000000000000191033694616125
ENSMUSG00000055044,Pdlim1,lower,-1.20339360290845,0.00000000000000000000000000000000000000000000559253982349319
ENSMUSG00000059588,Calcrl,lower,-2.94517799412488,0.00000000000000000000000000000000000000000000572855035899997
ENSMUSG00000040124,Gorab,higher,1.37815292112524,0.00000000000000000000000000000000000000000000641686807534807
ENSMUSG00000037031,Tspan15,lower,-1.21942505158225,0.00000000000000000000000000000000000000000000884998899337653
ENSMUSG00000016494,Cd34,higher,1.160578761766,0.00000000000000000000000000000000000000000000959865626427195
ENSMUSG00000039474,Wfs1,lower,-1.49395511760421,0.0000000000000000000000000000000000000000000128830785876136
ENSMUSG00000006435,Neurl1a,lower,-1.639947623822,0.0000000000000000000000000000000000000000000134421855124376
ENSMUSG00000055723,Rras2,lower,-1.10516919521052,0.000000000000000000000000000000000000000000015840578686408
ENSMUSG00000025582,Nptx1,lower,-2.45103195904484,0.0000000000000000000000000000000000000000000208460717345691
ENSMUSG00000034981,Parm1,higher,4.19314333775065,0.0000000000000000000000000000000000000000000208762370296316
ENSMUSG00000063632,Sox11,lower,-1.04534531892553,0.0000000000000000000000000000000000000000000218131958198142
ENSMUSG00000027276,Jag1,higher,1.424085615364,0.0000000000000000000000000000000000000000000250033974432319
ENSMUSG00000060429,Sntb1,lower,-2.15100052167746,0.0000000000000000000000000000000000000000000256566473681198
ENSMUSG00000055301,Adh7,higher,1.30999379328456,0.0000000000000000000000000000000000000000000280695966136726
ENSMUSG00000039831,Arhgap29,lower,-1.82281292432646,0.0000000000000000000000000000000000000000000302977907935187
ENSMUSG00000031558,Slit2,higher,1.07499182039123,0.0000000000000000000000000000000000000000000341333447397152
ENSMUSG00000028664,Ephb2,higher,1.5543221970668,0.0000000000000000000000000000000000000000000368736438799903
ENSMUSG00000002266,Zim1,lower,-1.25973299005212,0.0000000000000000000000000000000000000000000847650378652447
ENSMUSG00000020181,Nav3,higher,1.23857410167635,0.0000000000000000000000000000000000000000000882780257476724
ENSMUSG00000024789,Jak2,higher,1.12416526375556,0.0000000000000000000000000000000000000000000882780257476724
ENSMUSG00000024063,Lbh,lower,-1.33993438887981,0.0000000000000000000000000000000000000000000886742327292813
ENSMUSG00000030592,Ryr1,lower,-2.02323619689124,0.000000000000000000000000000000000000000000114447607534952
ENSMUSG00000039081,Zfp503,higher,1.54310637684566,0.000000000000000000000000000000000000000000130735156836023
ENSMUSG00000001864,Aif1l,lower,-1.06871804317959,0.000000000000000000000000000000000000000000291687020315765
ENSMUSG00000022996,Wnt10b,higher,1.2290349783479,0.000000000000000000000000000000000000000000363555121689332
ENSMUSG00000030465,Psd3,lower,-1.57537437284606,0.00000000000000000000000000000000000000000036608328829174
ENSMUSG00000042834,Nrep,higher,2.88054951719434,0.000000000000000000000000000000000000000000590344635833467
ENSMUSG00000031284,Pak3,higher,1.33024232896753,0.000000000000000000000000000000000000000000652249752850733
ENSMUSG00000036053,Fmnl2,higher,1.16380388531915,0.0000000000000000000000000000000000000000007688498438213
ENSMUSG00000061859,Patj,lower,-2.38040399476344,0.000000000000000000000000000000000000000000878610254159299
ENSMUSG00000034165,Ccnd3,lower,-1.19736682545762,0.00000000000000000000000000000000000000000110565835124308
ENSMUSG00000014846,Tppp3,lower,-1.61770390359054,0.00000000000000000000000000000000000000000122494775694005
ENSMUSG00000004885,Crabp2,higher,1.16736386448422,0.00000000000000000000000000000000000000000129960096524146
ENSMUSG00000038248,Sobp,higher,2.33331466208203,0.00000000000000000000000000000000000000000131455164596963
ENSMUSG00000045954,Cavin2,lower,-1.21105230454391,0.00000000000000000000000000000000000000000170465704907107
ENSMUSG00000055489,Ano5,lower,-3.31295747915373,0.0000000000000000000000000000000000000000017063676067485
ENSMUSG00000052942,Glis3,higher,1.3666296727134,0.0000000000000000000000000000000000000000017063676067485
ENSMUSG00000026414,Tnnt2,lower,-1.57162197732549,0.00000000000000000000000000000000000000000201610501203715
ENSMUSG00000057378,Ryr3,higher,1.56904587795998,0.00000000000000000000000000000000000000000233066703228469
